Date,Time,Merchant,Amount,Category,Balance
10/21/2024,07:30,Starbucks - IMA,6.50,Coffee,993.50
10/21/2024,12:15,HUB Dining Hall,14.99,Dining,978.51
10/21/2024,15:45,Vending Machine - Hub,3.50,Snacks,975.01
10/21/2024,19:30,The Burger Place,19.99,Meals,955.02
10/22/2024,08:00,Caffe Vita,5.50,Coffee,949.52
10/22/2024,12:45,District Market,28.50,Market,921.02
10/22/2024,14:30,Vending Machine - Savery,3.50,Snacks,917.52
10/22/2024,20:00,Pagliacci Pizza,18.99,Meals,898.53
10/23/2024,07:15,Starbucks - Odegaard,6.75,Coffee,891.78
10/23/2024,13:00,HUB Dining Hall,14.99,Dining,876.79
10/23/2024,16:20,Vending Machine - Hub,3.50,Snacks,873.29
10/23/2024,18:45,Thai Corner,22.50,Meals,850.79
10/24/2024,08:30,Starbucks - IMA,6.50,Coffee,844.29
10/24/2024,12:30,District Market,32.75,Market,811.54
10/24/2024,15:00,Vending Machine - Savery,3.50,Snacks,808.04
10/24/2024,19:15,The Burger Place,21.99,Meals,786.05
10/25/2024,07:45,Caffe Vita,5.50,Coffee,780.55
10/25/2024,13:15,HUB Dining Hall,14.99,Dining,765.56
10/25/2024,17:30,Vending Machine - Hub,3.50,Snacks,762.06
10/25/2024,20:30,Pagliacci Pizza,19.50,Meals,742.56
10/26/2024,08:15,Starbucks - Odegaard,6.75,Coffee,735.81
10/26/2024,12:00,District Market,35.25,Market,700.56
10/26/2024,14:45,Vending Machine - Savery,3.50,Snacks,697.06
10/26/2024,19:45,Thai Corner,24.99,Meals,672.07
10/27/2024,09:00,Starbucks - IMA,6.50,Coffee,665.57
10/27/2024,12:45,HUB Dining Hall,14.99,Dining,650.58
10/27/2024,15:20,Vending Machine - Hub,3.50,Snacks,647.08
10/27/2024,18:30,The Burger Place,23.50,Meals,623.58
10/28/2024,08:00,Caffe Vita,5.50,Coffee,618.08
10/28/2024,13:00,District Market,38.50,Market,579.58
10/28/2024,16:00,Vending Machine - Savery,3.50,Snacks,576.08
10/28/2024,20:00,Pagliacci Pizza,21.00,Meals,555.08
10/29/2024,07:30,Starbucks - Odegaard,6.75,Coffee,548.33
10/29/2024,12:30,HUB Dining Hall,14.99,Dining,533.34
10/29/2024,15:45,Vending Machine - Hub,3.50,Snacks,529.84
10/29/2024,19:15,Thai Corner,26.50,Meals,503.34
10/30/2024,08:45,Starbucks - IMA,6.50,Coffee,496.84
10/30/2024,13:15,District Market,42.00,Market,454.84
10/30/2024,14:30,Vending Machine - Savery,3.50,Snacks,451.34
10/30/2024,20:30,The Burger Place,25.99,Meals,425.35
10/31/2024,07:15,Caffe Vita,5.50,Coffee,419.85
10/31/2024,12:45,HUB Dining Hall,14.99,Dining,404.86
10/31/2024,16:20,Vending Machine - Hub,3.50,Snacks,401.36
10/31/2024,19:45,Pagliacci Pizza,22.50,Meals,378.86
11/01/2024,08:00,Starbucks - Odegaard,6.75,Coffee,372.11
11/01/2024,13:00,District Market,45.25,Market,326.86
11/01/2024,15:00,Vending Machine - Savery,3.50,Snacks,323.36
11/01/2024,20:00,Thai Corner,28.75,Meals,294.61
11/02/2024,08:30,Starbucks - IMA,6.50,Coffee,288.11
11/02/2024,12:30,HUB Dining Hall,14.99,Dining,273.12
11/02/2024,16:45,Vending Machine - Hub,3.50,Snacks,269.62
11/02/2024,19:30,The Burger Place,27.50,Meals,242.12
11/03/2024,07:45,Caffe Vita,5.50,Coffee,236.62
11/03/2024,13:15,District Market,48.50,Market,188.12
11/03/2024,14:20,Vending Machine - Savery,3.50,Snacks,184.62
11/03/2024,20:15,Pagliacci Pizza,24.00,Meals,160.62
11/04/2024,08:15,Starbucks - Odegaard,6.75,Coffee,153.87
11/04/2024,12:45,HUB Dining Hall,14.99,Dining,138.88
11/04/2024,16:00,Vending Machine - Hub,3.50,Snacks,135.38
11/04/2024,19:00,Thai Corner,30.00,Meals,105.38
11/05/2024,08:00,Starbucks - IMA,6.50,Coffee,98.88
11/05/2024,13:00,District Market,25.50,Market,73.38
11/05/2024,15:30,Vending Machine - Savery,3.50,Snacks,69.88
11/05/2024,20:00,The Burger Place,15.99,Meals,53.89
11/06/2024,08:45,Caffe Vita,5.50,Coffee,48.39
11/06/2024,12:15,HUB Dining Hall,14.99,Dining,33.40
11/06/2024,14:00,Vending Machine - Hub,3.50,Snacks,29.90
