Date,Merchant,Amount,Balance
11/1/2024,Starbucks,6.50,493.50
11/2/2024,District Market,28.75,464.75
11/3/2024,Starbucks,6.25,458.50
11/4/2024,Vending Machine,3.50,455.00
11/5/2024,Pizza Place,18.99,436.01
11/6/2024,Starbucks,6.50,429.51
11/7/2024,District Market,35.50,394.01
11/8/2024,Starbucks,6.75,387.26
11/9/2024,Burger Grill,22.50,364.76
11/10/2024,Vending Machine,3.00,361.76
11/11/2024,Starbucks,6.25,355.51
11/12/2024,District Market,32.75,322.76
11/13/2024,Starbucks,6.50,316.26
11/14/2024,Pizza Place,19.50,296.76
11/15/2024,Starbucks,6.75,290.01
11/16/2024,District Market,28.50,261.51
11/17/2024,Vending Machine,3.50,258.01
11/18/2024,Starbucks,6.25,251.76
11/19/2024,Burger Grill,24.99,226.77
11/20/2024,District Market,30.75,196.02
