plant_id,plant_name,zipcode,difficulty,season,category
234,Waioli Valley Maiden Fern,98277,medium,Fall,Flower
123,Few-flower Fumitory,98664,medium,Fall,Vegetable
890,Diplotomma Lichen,98443,hard,Summer,Vegetable
901,Prairie Bishop,98264,medium,Fall,Flower
901,Glossy Buckthorn,98895,medium,Spring,Fruits
789,Chelsau,98134,easy,Spring,Flower
890,Broadleaf False Carrot,98130,medium,Summer,Flower
789,Tropical False Goldeneye,98622,easy,Winter,Flower
234,Melaspilea Lichen,98423,easy,Summer,Fruits
567,Calamint,98221,medium,Fall,Vegetable
890,Golden Shower,98679,easy,Spring,Fruits
678,Yellow Pond-lily,98108,hard,Fall,Fruits
890,Bouchea,98235,hard,Summer,Vegetable
678,Winged Wattle,98369,hard,Summer,Vegetable
345,Script Lichen,98903,easy,Winter,Fruits
456,Showy Draba,98431,easy,Spring,Flower
890,Bahama Maidenbush,98811,medium,Summer,Flower
123,Dwarf Umbrella-sedge,98794,medium,Summer,Fruits
789,Eastern Fournerved Daisy,98814,medium,Winter,Vegetable
234,Indusiella Moss,98751,medium,Spring,Fruits
567,Jau Jau,98612,medium,Spring,Vegetable
345,Yellow Coralroot,98762,easy,Summer,Vegetable
456,Northern Wildrice,98059,medium,Winter,Fruits
890,Loquat,98347,easy,Spring,Vegetable
234,Duchesne River Twinpod,98383,easy,Summer,Flower
789,Chisos Mountain Pricklypear,98090,medium,Spring,Flower
789,Staghorn Clubmoss,98011,medium,Fall,Flower
678,Sonoran Water-willow,98756,hard,Fall,Fruits
901,Walpole's Poppy,98004,easy,Spring,Vegetable
123,Cup Lichen,98514,easy,Winter,Fruits
456,Willow Cyanea,98711,hard,Spring,Vegetable
456,Pinkava's Pricklypear,98656,easy,Winter,Fruits
789,Janusia,98014,easy,Spring,Flower
234,Dudley's Swordfern,98351,medium,Spring,Fruits
901,Puerto Rico Indigoberry,98421,medium,Summer,Flower
890,Junghuhn's Sphagnum,98247,hard,Spring,Flower
789,Wood Lily,98460,hard,Fall,Fruits
345,Costus,98227,medium,Spring,Fruits
901,Streambank Cyanea,98795,easy,Fall,Fruits
456,Spotless Balm,98029,hard,Summer,Vegetable
890,Greenspot Nightshade,98840,medium,Winter,Fruits
678,Hoary Tansyaster,98425,medium,Spring,Fruits
901,Sedge,98527,medium,Summer,Vegetable
789,Palmer's Zinnia,98473,hard,Fall,Vegetable
123,Szechuan White Birch,98162,hard,Summer,Vegetable
678,Parry's Lipfern,98662,easy,Winter,Vegetable
901,Johnston's Phlox,98319,hard,Summer,Flower
678,Umbrella Indian Mallow,98223,easy,Fall,Flower
345,Hairyseed Paspalum,98562,hard,Summer,Fruits
890,Bouchetia,98623,easy,Fall,Flower
