Date,Merchant,Amount,Balance
11/1/2024,Starbucks,7.50,492.50
11/2/2024,District Market,45.75,446.75
11/3/2024,Starbucks,7.25,439.50
11/4/2024,Pizza Place,28.99,410.51
11/5/2024,Burger Grill,32.50,378.01
11/6/2024,Starbucks,8.50,369.51
11/7/2024,District Market,52.75,316.76
11/8/2024,Starbucks,7.75,309.01
11/9/2024,Vending Machine,4.50,304.51
11/10/2024,Pizza Place,35.99,268.52
11/11/2024,Starbucks,8.25,260.27
11/12/2024,District Market,48.50,211.77
11/13/2024,Starbucks,8.75,203.02
11/14/2024,Burger Grill,38.50,164.52
11/15/2024,Starbucks,7.50,157.02
11/16/2024,District Market,45.75,111.27
11/17/2024,Pizza Place,42.99,68.28
11/18/2024,Starbucks,8.50,59.78
11/19/2024,Vending Machine,4.50,55.28
11/20/2024,District Market,35.75,19.53
