Date,Merchant,Amount,Balance
11/1/2024,International Market,22.50,477.50
11/2/2024,Cafe,7.50,470.00
11/3/2024,Grocery Store,35.75,434.25
11/4/2024,Dining Hall,12.00,422.25
11/5/2024,Cafe,7.25,415.00
11/6/2024,International Market,28.50,386.50
11/7/2024,Dining Hall,11.75,374.75
11/8/2024,Cafe,7.50,367.25
11/9/2024,Grocery Store,38.25,329.00
11/10/2024,Restaurant,24.99,304.01
11/11/2024,International Market,25.75,278.26
11/12/2024,Cafe,7.75,270.51
11/13/2024,Dining Hall,12.50,258.01
11/14/2024,Cafe,7.25,250.76
11/15/2024,Grocery Store,36.50,214.26
11/16/2024,Restaurant,21.75,192.51
11/17/2024,International Market,24.25,168.26
11/18/2024,Cafe,7.50,160.76
11/19/2024,Dining Hall,11.00,149.76
11/20/2024,Grocery Store,35.50,114.26
