Date,Merchant,Amount,Balance
11/1/2024,District Market,12.50,487.50
11/2/2024,Starbucks,5.25,482.25
11/3/2024,Dining Hall,11.00,471.25
11/4/2024,Vending Machine,2.50,468.75
11/5/2024,Starbucks,5.50,463.25
11/6/2024,District Market,15.75,447.50
11/7/2024,Dining Hall,10.50,437.00
11/8/2024,Starbucks,5.25,431.75
11/9/2024,Vending Machine,2.00,429.75
11/10/2024,Pizza Place,14.99,414.76
11/11/2024,District Market,13.50,401.26
11/12/2024,Starbucks,5.50,395.76
11/13/2024,Dining Hall,11.25,384.51
11/14/2024,Starbucks,5.25,379.26
11/15/2024,District Market,16.75,362.51
11/16/2024,Vending Machine,2.50,360.01
11/17/2024,Dining Hall,10.75,349.26
11/18/2024,Starbucks,5.50,343.76
11/19/2024,Pizza Place,13.50,330.26
11/20/2024,District Market,14.25,316.01
